pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
201,2020-09-06,15:26:57,3,6,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,90.6328,-2.84172,-2.47517,1555.65,226.097,NULL,5.41941,1.02852,6.80819,-27.1446,5.66194,13.1265,0.562624,-0.13742,84.7492,-7.89796,-0.00707536,0.412242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.72286,3.74966,-0.875394,50.0062,5.22349,5.30017,-131.919,-7.38525,-13.8715,23.0954,-25.4453,121,143,CITI,MLB,NL,20200906-CITI-1,b2c4ec4b-f158-48dd-8bae-7b9854fb5a40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,2020-09-06,15:27:22,3,7,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,3,2,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,92.9983,-2.2699,-1.91887,2483.35,176.741,NULL,5.39751,1.21014,6.86209,-27.5704,3.53308,-0.661661,1.03023,-0.594581,87.0004,-7.41025,-2.04321,0.401399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.0685772,2.44776,-1.08808,50.0041,5.24041,4.55963,-135.474,-6.24033,-0.130127,24.3143,-27.5405,121,143,CITI,MLB,NL,20200906-CITI-1,40a15f99-0df0-49fe-b793-59e99ddbdac7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,2020-09-06,15:27:50,3,8,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,3,2,Undefined,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,statcast,99.1427,-1.72429,-3.44924,2504.13,205.661,NULL,5.35946,1.07955,7.00211,-12.7784,14.8595,6.04253,2.72691,-1.55614,91.3871,-4.12515,-2.31046,0.378376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.167,8.5819,-0.871795,50.0047,5.2482,8.49104,-144.211,-4.77317,-8.8668,30.3975,-13.9185,121,143,CITI,MLB,NL,20200906-CITI-1,0124d022-f9b9-472f-a1f2-6aab3146569d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,2020-09-06,15:28:29,4,1,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,92.7328,-1.52788,-2.17256,2681.43,171.611,NULL,5.39417,1.12699,6.59125,-25.7861,5.43195,-3.81509,1.84525,-1.18232,86.7767,-6.33982,-2.8882,0.402137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6071,3.3048,-0.976951,50.0019,5.27757,5.24667,-135.139,-4.41766,3.03266,23.695,-25.9305,121,143,CITI,MLB,NL,20200906-CITI-1,19685155-f40b-4720-b0c0-1147a5bbe037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,2020-09-06,15:28:50,4,2,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,1,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,98.7955,-1.3091,-1.59165,1573.53,250.967,NULL,5.34624,1.25636,6.65062,-11.8299,15.9025,6.59702,3.16225,0.349173,91.1126,-3.53885,-0.345823,0.379023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.00454,9.03166,-1.15266,50.0056,5.25278,3.78049,-143.942,-3.68351,-8.492,30.1612,-13.0283,121,143,CITI,MLB,NL,20200906-CITI-1,5809cc7f-cb3e-48db-9442-db417ef33cb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,2020-09-06,15:29:12,4,3,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,1,1,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,91.9489,0.286706,-0.911792,2664.09,132.563,NULL,5.51462,1.21712,6.5123,-26.7333,5.06018,-3.14257,3.54992,0.118553,85.5243,-4.73471,-1.50327,0.405827,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.50773,2.70161,-1.15225,50.0057,5.52181,2.23185,-134.091,-0.16062,2.79293,24.3333,-27.1755,121,143,CITI,MLB,NL,20200906-CITI-1,a539076e-94ac-47e9-be11-0b68a92dc62f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,2020-09-06,15:29:47,4,4,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,1,2,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,99.2445,-1.16598,-0.534376,2556.59,217.129,NULL,5.40382,1.18467,6.7742,-11.2872,16.3858,9.66485,3.39861,1.50214,90.8221,-3.30285,1.29886,0.378617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.44447,9.30615,-1.15449,50.0067,5.32287,1.02823,-144.576,-3.31663,-11.5465,33.2046,-12.4467,121,143,CITI,MLB,NL,20200906-CITI-1,8cad8cd3-944e-4da8-a2e0-2582ed416fd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,2020-09-06,15:30:08,4,5,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,2,2,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,93.416,-1.54016,-2.33837,2474.66,178.21,NULL,5.4816,1.11822,6.88367,-24.435,6.37365,-1.47675,2.04201,-1.13643,87.2286,-6.10587,-2.61566,0.399492,67.2903,64.1304,-135.302,NULL,NULL,NULL,NULL,157.866,NULL,-139.786,4.23152,0.284635,3.83405,-0.970066,50.0051,5.37294,5.60458,-136.106,-4.435,0.543731,24.4552,-24.8451,121,143,CITI,MLB,NL,20200906-CITI-1,c61b6d3f-2411-4e9f-8db5-9c80d7e4b5d1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,2020-09-06,15:30:59,4,6,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,89.3381,0.848757,0.272444,1466.25,213.364,NULL,5.39267,1.05701,6.8841,-26.1535,7.64825,7.66313,3.98676,1.94377,82.7148,-4.07691,1.71778,0.418447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.12497,3.98003,-1.07777,50.005,5.43394,-0.850137,-130.253,1.14207,-7.17986,24.0407,-25.2502,121,143,CITI,MLB,NL,20200906-CITI-1,4035ee65-e479-41e1-9fd6-c1a605b94026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,2020-09-06,15:31:25,4,7,"deGrom, Jacob",594798,Right,"New York Mets","Walker, Neil",435522,Left,"Philadelphia Phillies",,7,Top,2,3,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,91.4673,-1.43726,-1.599,2523.76,145.562,NULL,5.38228,1.2203,6.92616,-26.0761,6.15619,-4.53541,1.90085,-0.613612,85.1239,-6.32079,-2.45285,0.408618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.10256,3.70717,-1.11851,50.0033,5.28047,3.86093,-133.294,-4.15043,3.83844,24.6729,-25.4035,121,143,CITI,MLB,NL,20200906-CITI-1,77d789de-661f-45c0-8685-f437b23da70c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
